episode,ep_reward,mean_distance,mean_loss,epsilon,val_reward,val_loss,success,path_length,motion_time
25,-9.99999999999998,0.9880209398269654,-0.4570362931536511,0.6612230712443085,,,0,100,0.25550198554992676
26,-9.99999999999998,1.0716476404666901,-0.01864946585614234,0.6491200435281514,,,0,100,0.2538611888885498
27,-17.999999999999982,0.6842896416783333,0.3204880728479475,0.6372566718177796,,,0,100,0.2543468475341797
28,-108.99999999999983,0.6000000238418579,0.2988814013416413,0.6256282106063281,,,0,100,0.2539668083190918
29,-106.99999999999983,0.7168170693516731,-0.19929658233508235,0.6142300083542643,,,0,100,0.2539699077606201
30,-14.99999999999998,1.2541399085521698,-0.0916366341849789,0.6030575056287094,,,0,100,0.25363683700561523
31,91.80000000000001,0.935670599886557,0.044099278100652665,0.5940613327870172,,,1,82,0.203110933303833
32,99.7,0.2000000129143397,-20.085951490327716,0.5937349938988016,,,1,3,0.0065500736236572266
33,91.10000000000002,0.5126066180516262,1.4170387791735786,0.5884324160283887,,,1,49,0.1153709888458252
34,-9.99999999999998,0.4713399611413479,0.03647342277690768,0.5777707398563775,,,0,100,0.2539939880371094
35,-9.99999999999998,1.21722949385643,-0.0078176604314649,0.5673201790173459,,,0,100,0.25423502922058105
36,-9.99999999999998,0.8982432758808137,-0.026192229368753032,0.5570765531476156,,,0,100,0.2539031505584717
37,-9.99999999999998,0.44037508264184,-0.008389141475199723,0.5470357646602552,,,0,100,0.25380992889404297
38,-9.99999999999998,0.9891664075851441,-0.050690474130005894,0.5371937971059908,,,0,100,0.25374603271484375
39,-9.99999999999998,1.0523461490869521,-0.01671164156301529,0.5275467135665728,,,0,100,0.2541780471801758
40,96.7,0.30362656577066943,-0.9144922051240097,0.5244052833800322,19.019999999999992,nan,1,33,0.07646322250366211
41,-9.99999999999998,1.1244293734431268,-0.04459672679076902,0.5150114293788228,,,0,100,0.2540919780731201
42,-10.999999999999977,0.7004348662495613,0.11536014429759234,0.5058035861496001,,,0,100,0.2536442279815674
43,-12.999999999999979,0.863306827545166,0.31945444834418596,0.4967780704322993,,,0,100,0.25442004203796387
44,95.2,0.5416666824991504,-0.673745409216887,0.4925095227673368,,,1,48,0.11307597160339355
45,-9.99999999999998,1.000883055627346,-0.055283616440574404,0.48374724714214895,,,0,100,0.2552797794342041
46,-9.99999999999998,1.0,-0.015471714414452435,0.4751584761991917,,,0,100,0.2542850971221924
47,-9.99999999999998,1.2806248664855957,-0.013312266077891764,0.46673977431556946,,,0,100,0.2538478374481201
48,-9.99999999999998,1.4128776514530181,-0.023317079947519234,0.4584877738982778,,,0,100,0.25316786766052246
49,-9.99999999999998,0.2828427255153656,-0.022909159196508995,0.4503991740371217,,,0,100,0.25315308570861816
50,-109.99999999999982,0.20000000298023224,0.39698594049956343,0.4424707391843073,,,0,100,0.2532837390899658
51,-107.99999999999983,0.44674142450094223,-0.3832952290214598,0.43469929786017963,,,0,100,0.25303125381469727
52,-107.99999999999983,0.5672396993637085,-0.2201276851631701,0.4270817413845883,,,0,100,0.2532029151916504
53,99.5,0.4000000089406967,-18.45590329170227,0.42670484812124315,,,1,5,0.01132512092590332
54,-9.99999999999998,0.37160299479961395,-0.4571676157932961,0.41924559235666536,,,0,100,0.25306010246276855
55,-108.99999999999983,0.6000000238418579,0.9687421926483512,0.41193403975237036,,,0,100,0.2532680034637451
56,-108.99999999999983,0.4472135901451111,-0.2929781743325293,0.40476726558982784,,,0,100,0.2537219524383545
57,-9.99999999999998,0.9535479593276978,-0.5993403076380491,0.3977424030638146,,,0,100,0.2532508373260498
58,-109.99999999999982,1.1661903858184814,1.2269388673785846,0.390856642135654,,,0,100,0.25353407859802246
