episode,ep_reward,mean_distance,mean_loss,epsilon,val_reward,val_loss,success,path_length,motion_time
50,-11.99999999999998,0.7027839502692222,0.8038126847008243,0.5490278893120343,,,0,100,0.04134392738342285
51,94.10000000000001,0.8484676678975424,0.943431970066367,0.5451506128115243,,,1,39,0.01652693748474121
52,99.2,0.36562796868383884,1.196433508535847,0.5443590052859226,,,1,8,0.003317117691040039
53,-13.999999999999977,0.5359091240167618,0.8953969084145501,0.5345700411185086,,,0,100,0.04195094108581543
54,89.70000000000002,0.5715448476614491,0.740228821904028,0.5256403419972732,,,1,93,0.0394129753112793
55,97.2,0.7281978511148028,0.5433737311719192,0.523931115220246,,,1,18,0.007677316665649414
56,-11.999999999999979,0.7452394494414329,0.8005370426410809,0.5145466503776762,,,0,100,0.04171609878540039
57,95.4,0.5628152203101379,0.6767636254931299,0.5121372775940672,,,1,26,0.0107421875
58,90.00000000000003,0.3673838450014591,0.7530028535798192,0.5029863463833003,,,1,100,0.04266691207885742
59,99.60000000000001,0.19142134487628937,0.41281848633661866,0.5026241022231775,,,1,4,0.0017137527465820312
